2014",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2015",,,,,,,,,,,,Generación MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observación
,,,,,,,,,,,,,,,,,,,,,,,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2002m1,2002m2,2002m3,2002m4,2002m5,2002m6,2002m7,2002m8,2002m9,2002m10,2002m11,2002m12,2003m1,2003m2,2003m3,2003m4,2003m5,2003m6,2003m7,2003m8,2003m9,2003m10,2003m11,2003m12,2004m1,2004m2,2004m3,2004m4,2004m5,2004m6,2004m7,2004m8,2004m9,2004m10,2004m11,2004m12,2005m1,2005m2,2005m3,2005m4,2005m5,2005m6,2005m7,2005m8,2005m9,2005m10,2005m11,2005m12,2006m1,2006m2,2006m3,2006m4,2006m5,2006m6,2006m7,2006m8,2006m9,2006m10,2006m11,2006m12,2007m1,2007m2,2007m3,2007m4,2007m5,2007m6,2007m7,2007m8,2007m9,2007m10,2007m11,2007m12,2008m1,2008m2,2008m3,2008m4,2008m5,2008m6,2008m7,2008m8,2008m9,2008m10,2008m11,2008m12,2009m1,2009m2,2009m3,2009m4,2009m5,2009m6,2009m7,2009m8,2009m9,2009m10,2009m11,2009m12,2010m1,2010m2,2010m3,2010m4,2010m5,2010m6,2010m7,2010m8,2010m9,2010m10,2010m11,2010m12,2011m1,2011m2,2011m3,2011m4,2011m5,2011m6,2011m7,2011m8,2011m9,2011m10,2011m11,2011m12,2012m1,2012m2,2012m3,2012m4,2012m5,2012m6,2012m7,2012m8,2012m9,2012m10,2012m11,2012m12,2013m1,2013m2,2013m3,2013m4,2013m5,2013m6,2013m7,2013m8,2013m9,2013m10,2013m11,2013m12,
Ing. Carlos Ramirez Ulloa,Ing. Carlos Ramirez Ulloa (Caracol),3,600,0.29,17.94795,-99.99558,14Q,394587.22,19844677.73,Río Balsas,Medio Río Balsas,Balsas,Balsas,Guerrero,Apaxtla,Oriental,126,Materiales graduados,Flexibletierra y/o enrocamiento,1739,,Generación eléctrica,Alta Sísmisidad,CFE y CONAGUA,519.71,518.56,517.43,514.73,513.6,513.38,513.59,516.27,514.89,515.94,519.02,516.12,514.09,513.58,512.46,510.94,511,511.61,512.18,512.78,514.29,514.92,518.88,518.4,518.57,518.25,515.66,513.58,510.15,510.2,509.53,506.89,509.08,515.56,520.55,518.94,518.2,518.26,518.62,515.59,514.55,513.67,512.8,510.91,520.61,519.67,519.11,519.85,520.33,519.67,518.87,517.73,516.5,511.14,511.36,511.84,515.63,516.64,519.07,519.79,519.35,518.56,518.72,517.58,515.96,512.34,510.93,509.53,512.06,516.47,518.09,519.95,517.91,519.03,518.95,518.11,515.73,514.71,511.66,510.31,512.08,520.2,519.27,519.88,519.9,519.31,518.48,516.2,515.69,512.74,516.46,509.87,511.25,518.55,520.01,520.92,520.72,520.71,520.99,519.85,516.95,513.55,510.07,509.99,511.62,516.87,520.7,520.76,51122.27,40166.84,34147.46,24150.75,13983.08,97302.71,140425.6,88795.8,112433.6,178210.5,71467.53,52924.5,55229,28790,27847,22673,51736,81964,138825,145580,347722,322666,87826,58035,44674,39515,47093,41459,49362,110398,157455,205524,205841,295882,99325,51442,42090.59,42076.77,37930.75,29313.45,39972.77,34334.55,118403.2,149506.3,199413,67857.14,50648.2,38935.3,29004.36,29733.44,34379.74,24552.8,21932.3,66637.35,58486.15,172174.7,160494.6,102928.4,52059.13,51126.77,40038.61,32846.59,41365.31,24340.32,30895.69,59975.39,105728,204369.6,293200.3,81574.89,77636.11,51776.51,28896.29,27389.66,27085.64,14681.75,16033.06,60637.05,277385.9,230979,290604.9,121713.7,58296.13,34329.33,31872.47,45166.42,36216.43,36771.6,32118.9,55268.04,105952.5,51742.45,230749.2,68219.87,84533.44,43086.8,33142.64,64604.96,52278.87,27015.41,23320.61,50254.8,260383.5,325459.6,416398.2,134358,53116.71,37696.16,41222.27,33239.88,34549.97,34706.83,68339.38,46695.22,275498,230966.2,278402.5,109840.4,49198.07,49361.77,42956.23,31532.37,36631.6,37712.63,55778.67,89122.96,204070,252841.9,182059.3,124302.5,34089.47,60654.4,19959.22,22513.66,28966.72,42980.61,32132.18,118388.5,159234.7,134323,331436.3,239963.5,117542.9,65433.39,
Tuxpango,Tuxpango,4,36,0.66,18.84648,-97.03913,14Q,706599.66,2084989.1,Río Blanco,Río Blanco,Golfo Centro,Papaloapan,Veracruz,Ixtaczonquitlan,Oriental,33,Concreto,Rígida de Gravedad,0.64,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,1855.02,6883.03,13285.1,15814.18,12044.74,11773.97,10189.07,10950.32,11662.4,21901.07,23723.35,24019.32,24658.14,23425.06,22104.69,16850.32,13788.45,12540.46,492.5,6121.67,10880.21,12775.09,21576.29,23711.7,24773.72,20063.02,20560.31,12130.47,11861.36,11233.56,10098.96,10882.69,17604.33,23294.87,24465.34,24462.78,25106.56,23440.77,18582.53,16131.45,13632.99,11768.04,10511.19,5299.77,12024.54,20501.69,19246.17,19953.07,23896.86,22716.13,16681.11,15708.84,12274.89,12213.34,10936.38,9298.84,12757.87,24134.85,25469.38,22262.8,24220,22245.46,17887.66,14510.38,9913.65,10313.99,8451.92,7165.33,8749.62,21113.79,25380.19,23794.47,24921.34,23338.24,18993.26,15471.45,16636.06,11239.6,13146.65,11742.78,10541.95,10602.17,10476.64,9048.74,8433.73,17243.47,12291.54,21244.99,23483.62,15237.74,23510.09,20603.94,10343.18,23928.45,24766.25,23468.89,22023.59,19526.29,21150.75,
Raúl J. Marsal C. (Comedero),Comedero,2,100,0.12,24.568855,-106.809479,13R,316671.34,2718543.78,,,,,Sinaloa,Cosalá,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24482,20581,23998,15252,1590,,,,,7140,21492,12324,22458,18726,9618,0,,0,0,0,0,66,33030,15438,10230,28859,42267,31441,8305,34,0,0,0,6285,0,9060,30246.94,4460.36,35943.27,30160.66,5263.63,0.22,28.99,5649.87,9666.52,24847.72,39735.24,14246.76,28106.84,35363.93,40466.22,26347.9,6966.9,4997.48,1254.01,55.01,3421.6,8239.31,43344.92,21441.49,33589.99,51231.71,57877.78,55329.62,22097.38,6498.37,6986.41,3063.03,347.16,24726.9,57945.04,18799.36,34745.03,45262.07,47419.61,45259.23,27951.38,10074.67,4635.19,0.58,57388.49,48073.39,71853.32,28975.18,43272.54,38419.64,47163.23,36251.58,16119.43,8903.22,10146.46,8604.38,12121.09,34550.99,64933.76,34136.03,50963.93,43159.37,65242.13,50431.95,16266.14,5355.6,3942.69,4071.24,147.48,18206,68484.86,28539.37,47435.51,50330.79,52796.02,54581.85,47414.94,26195.52,2402.19,0.64,195.66,11872.41,25504.77,11771.05,12634.87,21437.2,3918.17,0,0,0,0,5.84,110.29,6934.21,20814.42,11071.3,17344.05,16864.23,3750.09,0,0,0,0,0,197.81,8562.42,2748.11,9980.38,
Tepuxtepec,Lerma (Tepuxtepec),3,74,0.3,20.00082,-100.22917,14Q,371349.85,2211988.52,Río Lerma,Río Lerma 2,Lerma Santiago Pacifico,Lerma - Santiago,Michoacán,Contepec,Central,47,Enrocamiento con cara de concreto,Flexibletierra y/o enrocamiento,323.37,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14642,13434,27309,28152,29445,24816,27721,29646,27395,28710,12060,14210,25111,26046,23998,28410,31661,24372,16753,27890,30949,33525,30985,29384,21518,13438,14265,9770,7602,18436,15313,23189,17710,13153,12793,13395,13753,14164,19635,17434,23100,17707,13990,14724,19408,28138,26715,27015,26267,25041,27798,27534,21619,26037,28078,26829,24936,23456,24828,29531,32200,29847,28765,19482,9995,12929,25331,31795,30350,18063,16728,11637,10864,16606,16225,29174.6,21489,12850,18794,26169,13324.29,18625,18000,18600,18705.93,15638.3,6431.41,11780.23,23001.9,29377.95,31132.26,32289.77,30675.32,21648.49,13020.53,9940.94,10731.51,9586.59,10049.72,10285.24,8344.45,10161.65,20682.42,25753.42,25666.18,26803.51,26040.05,17617.23,11086.46,10311.68,11348.36,7969.08,5555.05,6148.66,16707.36,21629.34,22112.07,23899.67,21078.87,21750.63,24649.93,22187.19,24630.51,16109.5,14991.53,14395.67,14720.79,15205.09,10604.31,24527.11,21252.48,11536.54,
Patla,null,3,37,0.57,20.238865,-97.892432,14Q,615687.16,2238301.31,,,,,Puebla,Xicontepec de Juaréz,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,4679,2588,1466,3184,1812,5975,12999,10065,23332,13455,14092,9509,8687,8675,8917,6292,11596,11524,15150,21864,20963,11313,10132,7546,8399,6191,7237,5988,5343,8740,12517,10399,2500,14816,15857,11171,8792,10396,5675,9837,9909,12090,20409,19759,16584,15366,16117,15772,12000,9690,336,8912,9912,10764,12122,20712,22872,20296,17469,13979,10445,6668,10040,7483,12260,18138,18941,17409,18107,18556,15710,10482,10494,10864,3728,6720,9674,13243,15423,21212,11175,10800,11160,2022,5233,7875,6811,9971,6695,16656,22127,24910,21306,11509,8845,9609,6131,6983,5995,9287,12243,17684,18393,17281,19781,4204,10919,7373,2831,6865,11160,18604,14904,4266,15652,19501,13324,8976,12147,7331,6492,7608,4572,3724,16290,17752,16409,16708,18336,17611,23544,
Álvaro Obregón,Oviachic,2,19.2,0.44,27.82248,-109.89253,12R,608921.42,3078040.48,Río Yaqui,Río Yaqui 2,Noroeste,Sonora Sur,Sonora,Cajeme,Noroeste,90,Homogenéa con protección de enrocamiento,Flexibletierra y/o enrocamiento,2989,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9094.37,10149.49,10604.12,4373.63,692.38,649.62,332.47,1392.72,2177.31,2680.91,9140.8,3845.22,6302,8417,7961,1818,287,194,141,79,517,531,2797,1860,820,2019,2354,981,512,484,391,450,346,1430,6788,8829,2642.21,6860.18,10499.94,5091.18,2638.23,2630.61,1682.26,543.7,2619.87,3346.79,13176.3,9098.5,10231.49,12440,12283.97,4305.82,1597.11,1452.6,977.83,755.2,1967.76,2915,12729.3,9120.43,9841.21,12158.74,12968.8,5067.81,1857.58,1729.44,1298.7,1974.48,1572.8,4675.72,14078.16,5902.43,8738.46,13745.75,14114.2,8681.65,2002.27,2295.07,1591.45,1438.71,6767.06,6798.49,15829.65,9042.43,14591.96,13881.24,14528.52,3748.21,2536.52,2723.78,2046.54,2213.39,1830.21,1702.28,14730.77,8148.91,11922.17,13890.52,15221.1,8653.73,3024.81,4686.06,3776.47,11738.22,15224.27,8176,15648.85,10295.06,14432.9,13519.2,14595.77,7785.16,3182.62,4292.22,3496.8,2766.33,4197.13,5378.16,13382.24,7236.65,11832.29,14239.34,14200.99,7686.31,2702.8,3644.32,1989.46,2310.55,1816.4,5263.3,15317.25,8047.59,13295.6,13011.39,12956.27,5969.82,1085.08,1145.68,514.94,1158.49,642.59,2468.88,12701.75,7619.9,
Tepexic,null,3,45,0.38,20.210012,-97.947702,14Q,609929.95,2235067.84,,,,,Puebla,Tenango de las flores,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,10019,14788,11494,8305,6582,9362,6949,3619,2999,369,5952,10096,16832,12065,13037,12060,10251,930,5369,6043,9863,9402,7968,12898,19906,22395,20743,4350,0,0,0,0,0,0,0,0,9225,11392,11043,10883,9085,10595,6832,9721,8686,9951,10504,11325,10781,11350,10861,11335,11311,10335,10938,1250,206,2329,2004,11413,11047,11920,11520,11904,1671,5037,6827,6983,9521,6707,11041,11354,10925,11418,9036,8549,8937,6030,7015,7647,9287,9138,10937,11160,10960,11422,4033,8246,7993,3391,7716,10143,10964,10811,4786,11246,10855,11046,1553,6586,6960,6573,7530,4596,4571,11047,11134,10988,10661,11158.16,11982,12200,
Manuel M. Dieguez (Santa Rosa),Gral. Manuel M. Dieguez (Santa Rosa),2,70,0.46,20.90904,-103.7056,13Q,634605.08,2312595.79,Río Santiago,Río Santiago 3,Lerma Santiago Pacifico,Lerma - Santiago,Jalisco,Amatitan,Occidental,114,Concreto,Rígida de Gravedad,345,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477.1,11731.5,13557.2,10402,7673.4,9324.8,17434.5,41141.3,43948.3,27769.7,11141.1,5979.7,10011,5904,12256,14017,11039,12218,38548,45340,44116,45220,18006,10054,10023,7474,17110,10351,9031,34723,45193,45583,43481,43302,14572,10565,9027.6,12202.7,15631.9,14714.3,11119.7,5905.7,23115.8,42285.5,38784.5,14523.6,13329.5,4976.7,1998.4,8923.7,14998.5,10235.6,8999.9,10793.5,13809.3,39731.7,35331.4,42640.9,29341.8,7958.2,7910.9,7487,7507.8,12216,11009,11944.3,44708.5,45668.7,43709.9,23488.1,7323.2,9439.4,9480.9,12233.5,3118.2,6651,11615.3,21315.2,43132.9,45681.6,44197.4,36601.7,13647.4,5331.8,8212.6,9381,16360.4,15042.8,10474.7,8897.7,16152.5,10546.3,42617.5,23130.8,6662.8,4746.2,6822.1,32559.7,14424.7,15233.5,8985.5,13002,37452.9,45694.6,44063.6,22017,7466.7,5854.2,14704,12888.6,6582.4,11127.3,12135.8,7658.7,19170.4,22639.8,20951.1,1780.2,1696.9,7153.3,11870.3,19440.4,16962.5,3129.5,0,11502.1,24660.2,49210,43352.3,7884.9,3299.1,3263.4,9625.4,9334.7,8759.8,15479.1,10520.9,11113.9,33064.7,42908,44061.3,43458,14404.6,10878.9,Presa Santa Rosa
null,Las Minas,3,15,0.72,19.68539,-97.15444,14Q,693461.96,2177716.56,Río Minas,Río Nautla,Golfo Centro,Norte de Veracruz,Veracruz,Las Minas,Oriental,10,Mampostería,Rígida de Gravedad,0.02,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7533.73,6672.27,6962.23,6673.72,6957.03,6879.15,6883.22,6811.59,6840.54,7188.65,7551.54,7239.41,7294,6379,6872,6444,6617,6382,6576,6567,6565,8947,7336,6478,7113,6456,6824,6582,6775,6328,6631,6609,6656,7189,6848,6870,6753.77,5983.93,6572.51,6267.31,6410.85,6130.03,6455.44,6736.09,7538.07,8749.53,6904.13,7509.63,7397.56,6637.54,7152.67,6683.99,6801.47,6544.96,7015.54,7209.38,6893.99,7578.05,6981.12,7792.53,7459.52,6650.04,6667.89,6804.62,7174.17,6813.79,6954.6,6966.82,7701.48,9144.32,7517.06,8490.61,8165.21,7296.84,7344.97,5912.73,6104.74,6973.09,7094.6,7007.73,8005.36,9241.07,7820.41,8192.54,7914.65,7256.41,7913.29,7227.59,7405.77,6679.01,7050.59,7058.45,7634.47,8560.41,8047.79,7528.99,7937.49,6648.07,7246.4,7009.63,7109.26,6772.68,7308.95,7460.65,8516.27,7723,7432.21,6127.37,6306.19,5526.15,5958.94,4316.63,5190.66,6139.33,6435.33,6439.13,7361.4,6737.3,5335.96,8279.04,8449.16,7757.98,7949.4,7493.58,4815.3,6552.18,7255.72,7843.6,7616.21,7865.1,6623.34,7689.06,7449.39,6770.07,7351.52,6889.17,7075.77,7099.7,7979.84,7396.95,6877.78,8164.69,7451.39,9180.69,
El Salto I,Camilo Arriaga (El Salto),2,18,0.61,22.58789,-99.39775,14Q,459146.3,2497860.43,Arroyo El Salto,Río El Salto,Golfo Norte,Pánuco,San Luis Potosí,El Naranjo,,13,Concreto reforzado,Rígida de Gravedad,0,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3114.89,3867,3824.76,3398.51,3317.04,5075.2,12591.84,11030.39,12341.3,12686.76,10864.45,6621.14,4806,4445,4220,3787,3641,5150,13351,12332,12951,13396,12309,8596,4795,4977,4825,4612,4625,7105,9622,10815,9601,11793,6868,5660,4055.46,3779.74,3850.9,3338.4,3261.37,3717.69,7163.99,11106.28,9892.07,10898.44,7181.99,5412.62,3166.78,3779.66,3788.73,3365.23,3190.84,3077.53,5952.76,9863.1,11325.54,10740.11,10190.47,7669.85,4011.84,2566.24,4282.72,3254.4,3644.33,6525.75,13057.28,12965.64,12874.25,12970,11189.41,8505.97,5643.94,4402.66,4503.79,3914.06,3615.29,9715.33,12014.1,12080.49,12305.17,13085.72,11177.06,9250.67,7383.42,5553.13,5261.65,3827.04,4193.85,4982.01,6921.73,5389.3,12389.6,10445.88,6452.55,5540.02,4977.22,4228.04,4065.9,4027.36,2603.76,3829.11,12857.14,13394.28,12973.72,13439,11833.14,9445.89,7552.34,5932.72,5735.12,4145.38,2743.45,4027.13,13135.98,12668.75,10135.6,7620.07,6020.95,5446.76,4769.6,5328.09,4597.33,4098.89,3480.53,2683.99,6069.98,9002.01,11688.46,8339.1,6887.36,6116.46,4940.08,,,,,,,,,,,,
Internacional La Amistad,La Amistad,2,66,0.12,29.44995,-101.05798,14R,300481.2,3259575.46,Río Bravo,Río Bravo 5,Río Bravo,Bravo-Conchos,Coahuila,Acuña,Noreste,87.57,Concreto,Rígida de Gravedad,4378,,Generación eléctrica,Asísmica,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898.61,7636.69,13261.27,6775.37,5980.9,4617.18,3452.15,0,0,0,0,0,0,4202,14392,2795,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2956,5917.01,9443.23,13765.17,10512.94,13809.16,9887.21,9927.66,6776.34,9111.36,6883.33,7664.22,5141.3,7327.53,9713.23,10823.58,10546.74,13794.45,8326.42,6775.76,5771.7,3476.9,4213.25,4195.56,6250.74,6179.29,3061.9,3399.82,9935.53,40037.34,8260.32,19512.04,25939.58,16022.9,6355.48,6865.69,4036.61,5209.56,5460.8,8321.36,43021.38,14192.67,8186.09,6714.62,6087.67,31100.21,34033.05,3974.06,2072.67,0,1198.25,8726.85,6092.33,23181.09,12737.56,11947.45,10502.53,6193.22,509.24,3744.57,0,1924.06,7136.27,12841.27,6430.15,6820.03,13798.83,35129.18,30421.69,10528.7,19487,1282.92,0,0,3310.78,348.33,7653.59,12327.02,12291.7,8924.22,7537.74,7520.54,7515.5,7029.24,7179.71,23687.75,25059.73,14552.44,6926.26,21144.33,6914.58,7140.01,16538.47,17568.15,9333.55,6169.13,14148.93,23353.66,16349.88,5210.77,17322.42,3969.69,0,0,1480.05,6000.19,5731.4,3758.41,3888.5,
Sinaloa,null,null,0,null,null,null,null,null,null,,,,,,,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6237,6888,7055,4484,496,0,0,441,330,5044,4312,3079,4843,3769,4386,375,0,0,0,0,0,2866,8579,4224,3721,5502,5578,5694,1206,0,3,19,5183,8303,6008,4851,10283.57,1464.62,7587.47,9613.78,7986.09,4347.65,1812.6,163.15,6069.98,10127.31,9971.98,7792.22,9247.12,7710.3,7285.29,2785.13,1920.55,1149.75,10.7,38.29,4581.21,4843.07,3078.61,8026.37,10378.25,8999.12,9637.47,7045.45,4213.76,3623.97,2490.2,1450.39,1319.46,9024.14,9196.49,1961.38,6336.17,8759.27,8859.46,7735.7,4942.02,1367.84,1568.14,2262.33,10043.51,9467.42,6585.85,3434.31,9511.64,8456.62,7396.86,4862.71,1113.82,0,193.66,0,3.87,3045.91,5328.97,3670.77,4991.5,4389.01,6788.71,3796.56,1367.53,131.05,245.93,666.71,1198.78,7503,7645.84,1962.3,5025.04,2868.96,2673.04,4803.98,5278.73,2108.43,51.84,5.75,988.46,4859.5,5432.91,1433.53,1955.56,3255.99,3948.1,2559.95,94.4,0,0,110.68,1037.83,2724.57,5862.49,6582.37,8563.62,7193.23,6126.88,2943.75,1124.05,123.5,31.21,162.09,1723.78,5264.41,1939.94,4208.22,
El Encanto,El Encanto,2,10,0.53,19.97811,-97.17668,14Q,690783,2210096.64,Río Tomata,Río Nautla,Golfo Centro,Norte de Veracruz,Veracruz,Tlapacoyan,Oriental,27.25,Concreto ciclopeo,Rígida de Gravedad,0.23,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.17,3990.88,3841.71,3724.17,3673.56,5009.39,5548.41,4632.28,5980.94,5950.42,4928.75,4920.74,4645,3710,3622,3528,3262,4672,5385,5429,6097,6132,3852,4867,4720,3905,4771,4768,5745,5275,5727,5764,6085,6630,3965,4402,4027.21,3578.45,3645.67,2231.7,3874.42,4571.73,5655.61,5382.3,6843.46,4548.73,6042.88,5652.83,5218.2,4406.81,4542.56,3614.95,3864.95,5002.71,6497.97,5574.61,7088.43,6983.17,6380.16,6796.44,5149.56,4533.05,4244.07,3831.34,3803.69,4119.94,5247.09,6044.89,6886.31,6610.02,2268.34,4607.58,5883.84,4402.03,4318.75,4297.58,3739.87,5611.39,4816.03,3983.21,5542.79,5850.48,4279.03,4975.54,4426.03,4395.99,4621.44,3796.11,3814.72,3959.39,4991.91,4489.67,6016.11,6541.4,6293.21,6047.24,5326.38,4231.88,3971.28,3700.08,3625.97,2660.28,6437.98,7336.78,5248.29,5143,5546.2,5770.65,5502.56,4534.9,4571.08,3941.31,3601.77,3797.82,6929.05,6632.04,6993.82,6765.69,5870.02,5773.96,5903.64,5385.7,5184.58,3840.06,3789.37,5297.01,6511.93,6066.35,6183.94,5996.67,5160.44,4844.68,4479.47,3470.36,3900.78,3699.07,4381.5,4150.33,6618.17,4458.56,3116.62,6688.74,5736.61,6004.59,
Botello,null,2,18,0.48,19.926597,-101.670415,14Q,220453.15,2205579.94,,,,,Michoacán,Panindicuaro,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048.5,4153.57,3712.26,3876.72,3877.38,3022.44,4721.63,5192.28,5417.27,5912.2,5693.63,5306.07,4601,3767,3418,3012,2931,4103,5495,5984,5810,5984,5736,5685,5896,4979,3952,4925,5184,5557,5976,6095,4245,806,670,2273,1590.75,217.49,2896.25,1685.37,6836.99,5758.15,6605.61,7218.17,8019.23,6948.15,7537.71,5900.31,5511.52,4434.34,4424.55,2636.85,1454.48,5397.94,6159.4,6764.66,8450.23,9575.47,7178.45,7002.54,6091.13,5201.41,5428.59,3977.3,5038.98,7084.76,7473.61,9051.6,9032.75,8829.57,8307.48,6674.02,5435.7,3944.18,5451.89,5007.9,3685.43,5656.27,6849.99,7486.23,7612.55,7122.74,7061.83,5598.74,5464.62,3790.56,5221.91,4128.1,2185.69,3492.37,5249.79,4749.34,5630.86,5842.14,6438.12,5536.5,4741.6,6024.36,5358.65,3660.4,2946.42,3653.75,7823.74,9156.86,8966.04,7984,7726.79,5454.01,5258.82,3440.89,5103.5,4953.76,4907.03,4739.01,2340.99,0,0,0,0,0,3774.55,3679.74,4805.62,4376.8,4205.29,3798.29,6432.8,7731.06,9667.4,8210.78,8727.51,4944.78,4607.08,3508.33,2871.42,4412.46,3721.28,4201.17,6039.25,6594.93,9309.96,9130.36,9827.78,6221.72,
